Thermal comfort,Age,Sex,Thermal preference,Thermal sensation,Air temperature (C)
4.0,28.0,1.0,0.0,1.0,30.4
2.0,36.0,1.0,0.0,2.0,37.3
2.0,23.0,1.0,1.0,0.0,37.0
4.0,19.0,0.0,2.0,1.0,36.1
5.0,25.0,1.0,1.0,0.0,27.1
5.0,23.0,1.0,1.0,-1.0,26.6
5.0,34.0,0.0,1.0,0.0,26.2
5.0,32.0,1.0,1.0,1.0,26.3
5.0,26.0,0.0,1.0,-1.0,26.4
5.0,28.0,1.0,1.0,-1.0,26.1
4.0,28.0,0.0,2.0,-1.0,25.9
5.0,22.0,0.0,2.0,-1.0,25.4
4.0,37.0,1.0,2.0,-2.0,23.9
5.0,25.0,1.0,1.0,0.0,29.4
5.0,27.0,0.0,1.0,0.0,26.3
4.0,26.0,1.0,2.0,-1.0,25.8
6.0,24.0,1.0,1.0,-1.0,26.6
5.0,33.5,1.0,1.0,0.0,27.3
4.0,32.0,1.0,0.0,1.0,27.3
2.0,34.0,1.0,0.0,0.0,26.7
5.0,47.0,1.0,1.0,-1.0,26.4
5.0,38.0,1.0,2.0,0.0,26.3
4.0,32.0,1.0,0.0,1.0,26.7
4.0,25.0,0.0,2.0,-2.0,27.0
4.0,24.0,0.0,2.0,1.0,28.5
5.0,26.0,0.0,1.0,0.0,26.8
5.0,30.0,1.0,0.0,0.0,26.5
5.0,28.0,0.0,1.0,-1.0,24.2
6.0,45.0,1.0,1.0,-2.0,27.7
5.0,35.0,0.0,1.0,-2.0,26.2
5.0,31.0,1.0,1.0,0.0,24.1
5.0,34.0,1.0,1.0,0.0,25.4
5.0,29.0,0.0,1.0,0.0,25.2
5.0,25.0,0.0,1.0,-2.0,25.6
5.0,24.0,1.0,0.0,-1.0,26.0
5.0,23.0,0.0,2.0,-2.0,28.5
5.0,23.0,1.0,0.0,-1.0,33.0
5.0,22.0,1.0,0.0,2.0,33.0
2.0,19.0,1.0,0.0,2.0,33.1
5.0,19.0,1.0,0.0,0.0,33.0
5.0,27.0,1.0,0.0,-1.0,32.9
4.0,23.0,0.0,0.0,3.0,32.9
4.0,22.0,0.0,0.0,0.0,33.0
4.0,23.0,0.0,0.0,-1.0,32.9
5.0,31.0,1.0,0.0,1.0,33.1
5.0,22.0,1.0,0.0,-2.0,33.7
6.0,23.0,1.0,0.0,0.0,33.5
5.0,35.0,1.0,1.0,-2.0,33.4
4.0,28.0,1.0,0.0,2.0,33.7
2.0,38.0,1.0,0.0,3.0,39.3
4.0,26.0,1.0,0.0,1.0,35.6
4.0,55.0,1.0,0.0,0.0,34.1
5.0,29.0,1.0,1.0,0.0,29.6
5.0,24.0,0.0,0.0,0.0,32.1
4.0,36.0,1.0,0.0,1.0,35.9
2.0,40.0,1.0,0.0,3.0,36.9
4.0,30.0,1.0,0.0,2.0,30.2
5.0,24.0,1.0,0.0,-1.0,30.2
4.0,23.0,0.0,0.0,2.0,36.4
4.0,27.0,1.0,1.0,-1.0,27.5
2.0,41.0,1.0,0.0,1.0,29.9
4.0,27.0,1.0,0.0,0.0,30.3
4.0,27.0,1.0,1.0,-2.0,29.0
4.0,24.0,1.0,0.0,-1.0,29.4
4.0,24.0,1.0,1.0,2.0,29.5
4.0,28.0,1.0,1.0,1.0,29.9
5.0,61.0,1.0,0.0,-2.0,25.4
4.0,33.0,1.0,0.0,1.0,29.0
4.0,35.0,1.0,0.0,1.0,33.6
5.0,29.0,1.0,0.0,0.0,25.8
4.0,40.0,1.0,0.0,1.0,33.0
1.0,50.0,1.0,0.0,3.0,32.0
2.0,24.0,1.0,0.0,1.0,40.2
2.0,25.0,1.0,0.0,1.0,37.1
2.0,24.0,1.0,0.0,0.0,32.8
5.0,38.0,1.0,1.0,-2.0,25.4
2.0,52.0,0.0,0.0,1.0,30.2
1.0,35.0,0.0,0.0,3.0,31.6
2.0,26.0,0.0,0.0,2.0,31.6
2.0,23.0,0.0,0.0,3.0,32.4
5.0,28.0,1.0,0.0,0.0,29.4
5.0,73.0,1.0,1.0,0.0,30.4
5.0,22.0,1.0,0.0,0.0,30.4
4.0,24.0,1.0,0.0,0.0,28.9
5.0,24.0,1.0,0.0,0.0,27.3
5.0,22.0,1.0,1.0,0.0,26.8
2.0,30.0,1.0,0.0,1.0,30.2
4.0,46.0,1.0,0.0,1.0,30.0
4.0,26.0,1.0,0.0,1.0,30.2
5.0,25.0,1.0,0.0,2.0,31.2
5.0,26.0,0.0,1.0,1.0,31.4
5.0,29.0,0.0,0.0,0.0,31.2
4.0,31.0,1.0,0.0,1.0,30.7
5.0,27.0,1.0,1.0,0.0,30.8
4.0,65.0,1.0,0.0,1.0,28.4
4.0,43.0,0.0,0.0,1.0,28.3
5.0,40.0,1.0,0.0,-1.0,24.5
5.0,46.0,1.0,2.0,0.0,28.2
5.0,37.0,1.0,1.0,-1.0,28.7
5.0,35.0,1.0,0.0,1.0,28.4
5.0,27.0,1.0,1.0,-2.0,28.7
5.0,25.0,0.0,2.0,-1.0,28.6
5.0,64.0,1.0,0.0,1.0,29.6
5.0,32.0,0.0,0.0,0.0,28.6
4.0,25.0,0.0,2.0,-2.0,29.4
4.0,35.0,1.0,0.0,0.0,29.4
5.0,63.0,1.0,1.0,0.0,29.6
5.0,27.0,1.0,1.0,0.0,26.9
5.0,23.0,1.0,0.0,1.0,29.3
5.0,50.0,0.0,0.0,0.0,30.0
4.0,32.0,1.0,0.0,1.0,29.8
5.0,42.0,0.0,1.0,0.0,30.5
5.0,36.0,0.0,0.0,1.0,30.4
5.0,27.0,1.0,1.0,0.0,30.7
5.0,22.0,1.0,1.0,-1.0,30.5
4.0,28.0,1.0,0.0,0.0,30.3
5.0,42.0,1.0,0.0,0.0,30.8
5.0,38.0,1.0,0.0,0.0,31.2
5.0,63.0,1.0,0.0,0.0,30.8
5.0,40.0,1.0,0.0,1.0,31.7
5.0,39.0,1.0,1.0,0.0,31.7
2.0,25.0,0.0,0.0,2.0,30.4
2.0,27.0,0.0,0.0,1.0,30.3
2.0,27.0,0.0,0.0,1.0,30.5
4.0,40.0,1.0,0.0,1.0,30.9
5.0,56.0,1.0,0.0,1.0,31.2
4.0,24.0,0.0,0.0,0.0,26.9
4.0,29.0,1.0,2.0,-1.0,26.0
5.0,34.0,1.0,1.0,1.0,25.9
4.0,26.0,1.0,2.0,-2.0,27.6
5.0,24.0,1.0,0.0,-3.0,27.0
5.0,39.0,1.0,1.0,0.0,26.8
4.0,47.0,1.0,0.0,1.0,25.9
4.0,40.0,0.0,2.0,-2.0,26.2
4.0,31.0,1.0,1.0,-1.0,25.5
5.0,39.0,1.0,0.0,-1.0,25.7
4.0,37.0,0.0,2.0,-3.0,25.9
4.0,23.0,1.0,0.0,-1.0,26.8
5.0,24.0,1.0,1.0,-2.0,26.8
5.0,39.0,1.0,2.0,-2.0,26.8
5.0,40.0,1.0,1.0,-1.0,23.0
5.0,45.0,1.0,1.0,-2.0,25.5
5.0,32.0,1.0,0.0,1.0,26.0
5.0,31.0,0.0,2.0,-1.0,22.8
5.0,45.0,0.0,1.0,-1.0,25.5
5.0,47.0,0.0,2.0,-2.0,25.7
4.0,44.0,1.0,0.0,1.0,25.6
4.0,31.0,1.0,0.0,0.0,25.3
4.0,25.0,1.0,0.0,0.0,24.8
4.0,42.0,1.0,1.0,0.0,25.5
4.0,28.0,0.0,1.0,-2.0,26.1
4.0,36.0,0.0,2.0,-2.0,25.6
5.0,23.0,1.0,0.0,0.0,24.5
5.0,49.0,1.0,0.0,0.0,26.1
4.0,25.0,1.0,1.0,0.0,27.1
4.0,30.0,1.0,0.0,0.0,26.7
5.0,43.0,1.0,2.0,-2.0,27.2
5.0,40.0,1.0,0.0,0.0,32.4
4.0,45.0,0.0,0.0,0.0,29.9
4.0,20.0,1.0,1.0,-1.0,29.1
5.0,19.0,1.0,1.0,-1.0,29.2
5.0,19.0,1.0,1.0,-1.0,29.1
5.0,19.0,1.0,1.0,0.0,28.7
4.0,20.0,1.0,0.0,-1.0,28.7
5.0,19.0,1.0,0.0,0.0,28.5
5.0,18.0,1.0,1.0,0.0,27.9
4.0,20.0,1.0,0.0,0.0,26.9
5.0,19.0,1.0,1.0,-1.0,27.8
4.0,19.0,1.0,0.0,-1.0,28.1
4.0,20.0,1.0,0.0,-1.0,28.0
4.0,20.0,1.0,0.0,-1.0,28.4
4.0,19.0,1.0,0.0,1.0,28.4
4.0,19.0,1.0,0.0,0.0,28.4
4.0,19.0,1.0,0.0,0.0,28.4
5.0,20.0,1.0,0.0,1.0,28.9
4.0,21.0,1.0,0.0,2.0,28.6
5.0,20.0,1.0,0.0,0.0,29.0
5.0,19.0,1.0,0.0,0.0,28.8
5.0,17.0,1.0,1.0,-1.0,29.3
6.0,19.0,1.0,0.0,0.0,29.4
5.0,19.0,1.0,1.0,0.0,28.8
5.0,20.0,1.0,1.0,-1.0,29.0
4.0,19.0,1.0,0.0,0.0,29.2
4.0,20.0,1.0,2.0,-1.0,29.2
5.0,21.0,1.0,1.0,0.0,26.9
5.0,21.0,1.0,0.0,0.0,29.8
4.0,19.0,1.0,0.0,0.0,29.5
5.0,19.0,1.0,0.0,0.0,29.5
5.0,20.0,1.0,1.0,0.0,29.6
5.0,19.0,1.0,0.0,0.0,29.2
4.0,18.0,1.0,0.0,0.0,29.3
5.0,20.0,1.0,1.0,0.0,30.7
2.0,19.0,1.0,0.0,1.0,28.6
4.0,23.0,1.0,0.0,0.0,28.5
4.0,20.0,1.0,2.0,-1.0,28.8
5.0,20.0,1.0,1.0,0.0,28.8
4.0,20.0,1.0,0.0,0.0,29.2
1.0,24.0,1.0,0.0,2.0,28.9
5.0,21.0,1.0,1.0,0.0,28.7
5.0,20.0,1.0,2.0,-1.0,28.7
5.0,19.0,1.0,0.0,0.0,29.2
5.0,19.0,1.0,0.0,0.0,29.0
4.0,20.0,1.0,1.0,0.0,29.4
5.0,20.0,1.0,0.0,-1.0,30.5
5.0,20.0,1.0,1.0,-1.0,29.4
4.0,19.0,1.0,0.0,2.0,31.7
4.0,20.0,1.0,0.0,1.0,31.8
4.0,19.0,1.0,0.0,-1.0,30.9
5.0,20.0,1.0,1.0,0.0,30.9
4.0,20.0,1.0,0.0,1.0,31.1
5.0,20.0,1.0,1.0,-1.0,30.9
5.0,18.0,1.0,0.0,2.0,32.0
2.0,19.0,1.0,0.0,2.0,32.0
4.0,19.0,1.0,0.0,2.0,31.7
4.0,20.0,1.0,0.0,2.0,31.5
2.0,20.0,1.0,0.0,1.0,31.7
4.0,19.0,1.0,0.0,2.0,32.1
5.0,21.0,1.0,0.0,-1.0,29.8
4.0,20.0,1.0,2.0,0.0,31.2
4.0,20.0,1.0,0.0,0.0,30.3
4.0,21.0,1.0,0.0,0.0,28.8
2.0,21.0,1.0,0.0,0.0,30.0
4.0,20.0,1.0,0.0,-1.0,30.1
4.0,21.0,1.0,0.0,1.0,30.1
5.0,21.0,1.0,0.0,0.0,30.1
4.0,21.0,1.0,0.0,0.0,29.9
5.0,21.0,1.0,1.0,-1.0,30.0
4.0,20.0,1.0,0.0,0.0,30.9
5.0,19.0,1.0,0.0,-1.0,29.3
5.0,20.0,1.0,0.0,3.0,29.9
4.0,21.0,1.0,0.0,1.0,29.9
5.0,22.6,1.0,2.0,-1.0,29.6
2.0,19.0,1.0,0.0,-1.0,30.1
4.0,20.0,1.0,0.0,0.0,29.4
4.0,19.0,1.0,0.0,1.0,30.3
4.0,19.0,1.0,0.0,0.0,30.9
5.0,19.0,1.0,0.0,1.0,29.3
4.0,19.0,1.0,0.0,1.0,30.0
5.0,19.0,1.0,0.0,-1.0,29.4
4.0,19.0,1.0,0.0,-1.0,30.0
5.0,18.0,1.0,0.0,-1.0,29.7
4.0,19.0,1.0,0.0,0.0,30.3
4.0,19.0,1.0,0.0,0.0,29.8
4.0,20.0,1.0,0.0,1.0,29.9
2.0,19.0,1.0,0.0,1.0,30.5
4.0,20.0,1.0,0.0,0.0,29.8
5.0,19.0,1.0,0.0,-2.0,29.7
5.0,18.0,1.0,0.0,0.0,29.8
5.0,18.0,1.0,0.0,0.0,29.7
4.0,19.0,1.0,0.0,1.0,31.7
4.0,20.0,1.0,0.0,-1.0,30.1
4.0,19.0,1.0,1.0,-1.0,29.9
5.0,20.0,1.0,0.0,-2.0,29.9
4.0,19.0,1.0,0.0,0.0,30.3
5.0,18.0,1.0,0.0,0.0,32.2
5.0,19.0,1.0,0.0,0.0,30.2
5.0,19.0,1.0,1.0,-1.0,30.1
2.0,18.0,1.0,0.0,1.0,30.2
4.0,18.0,1.0,0.0,0.0,30.3
5.0,18.0,1.0,0.0,1.0,30.3
5.0,18.0,1.0,0.0,0.0,30.2
5.0,18.0,1.0,1.0,0.0,30.0
4.0,19.0,1.0,0.0,1.0,30.9
5.0,19.0,1.0,1.0,-1.0,30.8
4.0,19.0,1.0,0.0,1.0,30.8
5.0,19.0,1.0,0.0,1.0,30.7
2.0,20.0,1.0,0.0,1.0,34.3
2.0,18.0,1.0,0.0,1.0,29.7
2.0,22.0,1.0,0.0,1.0,30.2
4.0,19.0,1.0,0.0,2.0,30.6
5.0,58.0,1.0,0.0,0.0,28.2
5.0,49.0,1.0,1.0,-1.0,32.1
5.0,47.0,1.0,1.0,-1.0,25.5
4.0,56.0,1.0,0.0,1.0,23.4
5.0,54.0,1.0,0.0,-1.0,25.1
4.0,59.0,1.0,2.0,-2.0,24.2
5.0,50.0,1.0,1.0,-2.0,24.0
4.0,52.0,1.0,1.0,-1.0,24.3
4.0,47.0,1.0,0.0,1.0,32.6
5.0,52.0,1.0,2.0,-1.0,27.3
4.0,54.0,1.0,2.0,-1.0,26.0
5.0,52.0,1.0,1.0,-2.0,24.1
5.0,40.0,1.0,1.0,0.0,25.6
5.0,45.0,1.0,1.0,-1.0,32.8
5.0,46.0,1.0,1.0,0.0,29.3
5.0,24.0,1.0,1.0,0.0,31.2
4.0,57.0,1.0,0.0,2.0,26.7
4.0,58.0,1.0,0.0,1.0,28.7
5.0,58.0,1.0,0.0,1.0,28.6
5.0,52.0,1.0,1.0,0.0,28.0
5.0,41.0,1.0,1.0,0.0,32.7
4.0,19.0,1.0,0.0,1.0,20.3
5.0,59.0,1.0,1.0,-1.0,27.9
5.0,23.0,1.0,0.0,2.0,31.4
4.0,49.0,0.0,1.0,-3.0,27.1
2.0,57.0,1.0,2.0,-2.0,24.7
5.0,51.0,1.0,1.0,0.0,24.9
4.0,51.0,1.0,2.0,-1.0,26.2
2.0,44.0,1.0,0.0,1.0,30.7
4.0,48.0,0.0,0.0,2.0,31.2
4.0,59.0,1.0,1.0,0.0,30.5
5.0,43.0,0.0,1.0,0.0,27.6
5.0,54.0,1.0,1.0,0.0,26.6
4.0,47.0,0.0,0.0,1.0,31.9
4.0,45.0,0.0,0.0,1.0,31.2
5.0,58.0,1.0,1.0,-1.0,29.5
4.0,53.0,1.0,1.0,-1.0,22.2
5.0,60.0,1.0,1.0,0.0,26.8
5.0,51.0,1.0,1.0,0.0,26.7
4.0,45.0,1.0,2.0,-1.0,28.0
4.0,49.0,1.0,2.0,-1.0,27.1
4.0,52.0,1.0,1.0,1.0,29.0
4.0,43.0,1.0,0.0,1.0,31.9
4.0,35.0,1.0,0.0,-1.0,29.9
5.0,35.0,1.0,1.0,0.0,28.5
5.0,26.0,1.0,0.0,-2.0,26.0
4.0,34.0,1.0,0.0,0.0,24.0
5.0,46.0,1.0,1.0,0.0,22.9
5.0,25.0,0.0,0.0,1.0,25.2
5.0,32.0,0.0,0.0,-2.0,25.0
5.0,29.0,0.0,1.0,0.0,25.1
5.0,34.0,1.0,1.0,0.0,19.0
5.0,27.0,0.0,1.0,-2.0,21.3
5.0,45.0,1.0,1.0,-2.0,27.6
5.0,61.0,1.0,1.0,-2.0,28.2
2.0,47.0,1.0,2.0,3.0,36.6
1.0,39.0,1.0,0.0,3.0,35.6
4.0,41.0,1.0,1.0,1.0,32.9
5.0,41.0,0.0,1.0,0.0,30.5
4.0,58.0,1.0,0.0,3.0,36.8
4.0,43.0,1.0,0.0,1.0,29.2
5.0,41.0,1.0,1.0,-1.0,30.8
5.0,49.0,1.0,0.0,-1.0,29.5
5.0,36.0,1.0,1.0,-2.0,29.9
2.0,38.0,1.0,2.0,1.0,35.1
4.0,42.0,1.0,0.0,2.0,32.6
4.0,49.0,1.0,0.0,1.0,34.5
5.0,44.0,1.0,2.0,-2.0,30.7
5.0,24.0,1.0,0.0,-1.0,29.5
5.0,20.0,0.0,0.0,-1.0,28.8
4.0,47.0,1.0,0.0,2.0,32.2
5.0,23.0,0.0,0.0,2.0,32.7
5.0,19.0,0.0,0.0,0.0,31.9
4.0,25.0,1.0,0.0,0.0,28.8
5.0,19.0,0.0,1.0,0.0,30.6
5.0,19.0,1.0,1.0,-2.0,27.6
5.0,32.0,1.0,1.0,-2.0,29.3
6.0,26.0,1.0,0.0,0.0,28.6
6.0,26.0,0.0,1.0,-2.0,28.9
5.0,22.0,0.0,1.0,-2.0,28.2
5.0,23.0,1.0,0.0,0.0,28.4
4.0,35.0,1.0,1.0,-2.0,28.2
2.0,29.0,1.0,0.0,1.0,27.7
4.0,27.0,1.0,0.0,1.0,32.9
5.0,21.0,1.0,0.0,0.0,27.9
5.0,48.0,1.0,1.0,-1.0,26.3
5.0,27.0,1.0,1.0,0.0,36.1
5.0,37.0,1.0,1.0,-1.0,32.8
5.0,31.0,1.0,1.0,0.0,29.2
5.0,20.0,0.0,1.0,0.0,33.4
4.0,41.0,1.0,0.0,1.0,28.7
5.0,25.0,1.0,0.0,0.0,24.7
5.0,23.0,0.0,2.0,-1.0,27.1
5.0,23.0,0.0,0.0,1.0,25.9
4.0,37.0,1.0,0.0,-1.0,22.2
5.0,75.0,0.0,1.0,0.0,31.1
5.0,17.0,0.0,0.0,3.0,30.9
5.0,44.0,0.0,1.0,0.0,33.7
5.0,21.0,0.0,0.0,1.0,33.6
4.0,26.0,1.0,0.0,1.0,34.0
4.0,40.0,1.0,0.0,1.0,33.6
4.0,34.0,0.0,0.0,2.0,32.8
5.0,20.0,1.0,0.0,1.0,31.1
4.0,18.0,1.0,0.0,0.0,31.3
4.0,20.0,1.0,0.0,0.0,31.5
5.0,19.0,1.0,1.0,-1.0,31.7
4.0,19.0,1.0,0.0,1.0,31.7
2.0,20.0,1.0,0.0,0.0,31.7
4.0,18.0,1.0,0.0,1.0,30.7
4.0,19.0,1.0,0.0,-1.0,30.8
4.0,20.0,1.0,0.0,0.0,31.1
5.0,20.0,1.0,1.0,0.0,31.2
5.0,19.0,1.0,0.0,-1.0,31.4
4.0,19.0,1.0,0.0,0.0,31.4
5.0,20.0,1.0,2.0,0.0,31.2
5.0,21.0,1.0,1.0,-1.0,31.8
6.0,20.0,1.0,1.0,0.0,31.2
5.0,20.0,1.0,0.0,0.0,31.8
5.0,21.0,1.0,0.0,0.0,31.8
4.0,20.0,1.0,0.0,-1.0,31.7
5.0,20.0,1.0,0.0,1.0,31.5
4.0,20.0,1.0,0.0,0.0,31.7
4.0,19.0,1.0,0.0,1.0,32.9
5.0,20.0,1.0,0.0,1.0,32.7
4.0,19.0,1.0,0.0,0.0,32.8
5.0,20.0,1.0,0.0,1.0,32.9
2.0,20.0,1.0,0.0,3.0,33.9
2.0,20.0,1.0,0.0,3.0,33.4
2.0,20.0,1.0,0.0,2.0,32.1
4.0,19.0,1.0,0.0,1.0,34.1
